trip_id,start_ts,end_ts,start_lat,start_lon,end_lat,end_lon,distance_m,duration_s,traffic_level,weather,terrain,vehicle_type,priority
trip_0,2024-02-11T09:12:00,2024-02-11T10:59:40,28.841699240087618,77.23097812383853,28.929593392423474,76.9605238565583,44027,9302,2,storm,hilly,tank,low
trip_1,2024-12-07T06:25:00,2024-12-07T07:24:53,28.757734471418896,77.10008793352358,28.70291998981406,77.35323203676084,47509,3593,0,clear,flat,tank,low
trip_2,2024-11-12T20:14:00,2024-11-12T21:19:15,28.536591548644452,77.437028666569,29.096617095684746,77.26320202138632,39752,4384,1,storm,flat,tank,low
trip_3,2024-12-23T12:36:00,2024-12-23T13:21:07,28.526041527713353,77.2999119383792,28.436529763995022,77.29100679740509,49086,3031,1,clear,flat,troop,low
trip_4,2024-06-12T20:03:00,2024-06-12T21:18:47,28.852390084293592,77.12883315385365,28.99544169870665,77.1399828703176,43239,5638,2,clear,flat,troop,low
trip_5,2024-05-16T16:55:00,2024-05-16T18:30:33,28.64269206309811,77.14567806305466,28.76145098945112,77.08981466426131,57702,6420,1,clear,flat,truck,med
trip_6,2024-01-03T18:59:00,2024-01-03T20:00:36,28.72050025124619,77.18100598104016,28.743095939502613,77.51097190804116,27154,4139,1,clear,flat,troop,med
trip_7,2024-02-12T05:41:00,2024-02-12T06:11:13,28.66632447555519,77.35784257683721,28.431934363103778,77.41739970216044,53932,2030,1,clear,flat,troop,low
trip_8,2024-03-08T06:15:00,2024-03-08T07:50:04,28.96571731499659,77.14298762968656,28.94550604093636,77.48061666973045,79609,7529,1,clear,hilly,truck,low
trip_9,2024-05-13T00:45:00,2024-05-13T01:56:24,28.914417260432494,77.08176938828782,28.96854886114009,77.48682280204164,61986,5312,2,clear,flat,tank,low
trip_10,2024-03-11T23:46:00,2024-03-12T00:40:15,28.862087162631987,77.0459207562333,28.713664042048073,76.95298270251942,42013,4036,2,clear,flat,tank,low
trip_11,2024-06-20T18:46:00,2024-06-20T19:13:04,28.92296433450015,77.10279025889373,28.87048522228684,77.30527133746554,59453,2013,2,clear,flat,truck,med
trip_12,2024-07-05T13:31:00,2024-07-05T14:46:12,28.975415762323834,77.03138508774332,29.037323349496216,77.44842618291077,14708,3835,0,fog,flat,troop,high
trip_13,2024-06-18T05:46:00,2024-06-18T07:09:38,28.620212883209582,77.30742426202953,28.571778421003373,77.07167920439268,44393,5018,0,clear,flat,tank,low
trip_14,2024-03-26T08:33:00,2024-03-26T09:22:13,28.790284044128512,77.36320314726505,28.71932243670778,77.38344613977686,24932,3307,1,clear,flat,tank,low
trip_15,2024-11-24T12:09:00,2024-11-24T12:45:58,28.905563589629452,77.32779470670522,28.760419228923748,77.05406556802794,13687,2661,0,clear,hilly,tank,low
trip_16,2024-06-26T18:18:00,2024-06-26T19:54:45,28.635807729646032,77.3683464927373,28.552573981482926,77.31714600082358,23087,8068,2,rain,flat,truck,low
trip_17,2024-12-14T17:36:00,2024-12-14T18:29:31,28.946035052205545,77.35469900745925,28.6947518781428,77.26050039589194,37272,3853,0,clear,hilly,tank,med
trip_18,2024-11-03T06:06:00,2024-11-03T07:11:04,28.703112666805715,77.48853056126259,28.849884434985512,77.07458807218623,10165,3904,0,clear,flat,truck,low
trip_19,2024-11-19T02:00:00,2024-11-19T03:27:17,28.53601174109398,77.12445913146114,28.497382696034627,77.0665172933671,7681,6912,1,clear,hilly,truck,low
trip_20,2024-03-25T00:34:00,2024-03-25T01:31:57,28.940911539410717,77.25344756963779,28.53355952833846,77.48428970727834,54255,4589,1,clear,hilly,troop,med
trip_21,2024-10-12T23:43:00,2024-10-13T00:37:58,28.722226856683836,77.10039709348351,29.031566681767263,76.93860988185347,20330,3957,0,clear,hilly,truck,low
trip_22,2024-09-29T08:37:00,2024-09-29T09:56:42,28.865596683449596,77.43377025364833,28.4964852804189,77.48064129130685,64819,4674,0,rain,flat,tank,high
trip_23,2024-05-03T01:44:00,2024-05-03T02:14:47,28.873403719137855,77.47476217510614,28.40251445546561,77.50799818542333,37682,2290,2,clear,flat,tank,low
trip_24,2024-02-18T20:07:00,2024-02-18T21:22:19,28.616289648354968,77.04146083535232,28.650193802807856,76.93790061548144,39270,5965,1,fog,hilly,tank,med
trip_25,2024-01-10T05:40:00,2024-01-10T06:47:06,28.690888275405033,77.49829602782472,28.40595495253745,77.25054649765275,62057,5797,2,clear,mountainous,troop,low
trip_26,2024-04-15T01:27:00,2024-04-15T02:48:41,28.971838380700227,77.04796623747819,28.93664896894988,77.34152025532718,49699,5489,1,clear,flat,troop,low
trip_27,2024-01-31T03:17:00,2024-01-31T04:03:54,28.72783069742895,77.31675866814389,28.873046750323606,77.36538475311124,47771,4052,2,clear,hilly,troop,low
trip_28,2024-09-11T00:59:00,2024-09-11T01:46:09,28.513420791202275,77.47737496375815,29.024923521243,77.3973141899871,67301,3507,2,clear,flat,tank,low
